年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量,查詢水果
2020,新北市,草莓,0.95,0.95,11121.053,10.565,草莓
2020,臺北市,草莓,6.2,6.2,9000,55.8,草莓
2020,桃園市,草莓,4.13,4.13,10996.368,45.415,草莓
2020,臺中市,草莓,8.7,8.7,11748.046,102.208,草莓
2020,臺南市,草莓,4.8,4.8,13166.667,63.2,草莓
2020,高雄市,草莓,4.16,4.16,10468.75,43.55,草莓
2020,宜蘭縣,草莓,0.38,0.38,12578.947,4.78,草莓
2020,新竹縣,草莓,13.85,13.85,9532.419,132.024,草莓
2020,苗栗縣,草莓,464.79,464.79,19795.734,9200.859,草莓
2020,彰化縣,草莓,1.61,1.61,10000,16.1,草莓
2020,南投縣,草莓,8.8,8.8,13022.727,114.6,草莓
2020,雲林縣,草莓,2.38,2.38,5942.437,14.143,草莓
2020,嘉義縣,草莓,3.78,3.78,11730.159,44.34,草莓
2020,屏東縣,草莓,0.25,0.25,9000,2.25,草莓
2020,臺東縣,草莓,0.32,0.32,11000,3.52,草莓
2020,花蓮縣,草莓,1.8,1.8,8500,15.3,草莓
2020,澎湖縣,草莓,0.01,0.01,3800,0.038,草莓
2020,基隆市,草莓,-,-,-,-,草莓
2020,新竹市,草莓,-,-,-,-,草莓
2020,嘉義市,草莓,0.4,0.4,13000,5.2,草莓
2020,金門縣,草莓,-,-,-,-,草莓
2020,連江縣,草莓,-,-,-,-,草莓
2021,新北市,草莓,1.15,1.15,12414.783,14.277,草莓
2021,臺北市,草莓,4.1,4.1,9200,37.72,草莓
2021,桃園市,草莓,6.05,6.05,11701.322,70.793,草莓
2021,臺中市,草莓,7.04,7.04,10573.011,74.434,草莓
2021,臺南市,草莓,4.08,4.08,13176.471,53.76,草莓
2021,高雄市,草莓,3.02,3.02,9964.238,30.092,草莓
2021,宜蘭縣,草莓,0.48,0.48,12687.5,6.09,草莓
2021,新竹縣,草莓,13.62,13.62,9526.065,129.745,草莓
2021,苗栗縣,草莓,450.79,450.79,18933.916,8535.22,草莓
2021,彰化縣,草莓,1.39,1.39,9568.345,13.3,草莓
2021,南投縣,草莓,10.1,10.1,10970.297,110.8,草莓
2021,雲林縣,草莓,2.47,2.47,5858.3,14.47,草莓
2021,嘉義縣,草莓,2.41,2.41,12120.332,29.21,草莓
2021,屏東縣,草莓,0.46,0.46,9254.348,4.257,草莓
2021,臺東縣,草莓,0.38,0.38,11000,4.18,草莓
2021,花蓮縣,草莓,1.61,1.61,8000,12.88,草莓
2021,澎湖縣,草莓,0.02,0.02,4000,0.08,草莓
2021,基隆市,草莓,-,-,-,-,草莓
2021,新竹市,草莓,0.03,0.03,8000,0.24,草莓
2021,嘉義市,草莓,-,-,-,-,草莓
2021,金門縣,草莓,-,-,-,-,草莓
2021,連江縣,草莓,-,-,-,-,草莓
2022,新北市,草莓,1.18,1.18,12155.932,14.344,草莓
2022,臺北市,草莓,2.95,2.95,9000,26.55,草莓
2022,桃園市,草莓,6.71,6.71,12008.644,80.578,草莓
2022,臺中市,草莓,14.2,14.2,10220.352,145.129,草莓
2022,臺南市,草莓,5.53,5.53,11911.935,65.873,草莓
2022,高雄市,草莓,3.71,3.71,10410.782,38.624,草莓
2022,宜蘭縣,草莓,0.57,0.57,11692.982,6.665,草莓
2022,新竹縣,草莓,14.66,14.66,7788.54,114.18,草莓
2022,苗栗縣,草莓,490.66,490.66,12027.651,5901.487,草莓
2022,彰化縣,草莓,1.06,1.06,9124.528,9.672,草莓
2022,南投縣,草莓,14.86,14.86,6375.168,94.735,草莓
2022,雲林縣,草莓,3.11,3.11,5723.794,17.801,草莓
2022,嘉義縣,草莓,3.49,3.49,10108.883,35.28,草莓
2022,屏東縣,草莓,1.05,1.05,7452.381,7.825,草莓
2022,臺東縣,草莓,0.08,0.08,11000,0.88,草莓
2022,花蓮縣,草莓,1.41,1.41,7800,10.998,草莓
2022,澎湖縣,草莓,-,-,-,-,草莓
2022,基隆市,草莓,-,-,-,-,草莓
2022,新竹市,草莓,0.2,0.2,6000,1.2,草莓
2022,嘉義市,草莓,-,-,-,-,草莓
2022,金門縣,草莓,-,-,-,-,草莓
2022,連江縣,草莓,-,-,-,-,草莓
2023,新北市,草莓,0.68,0.68,11661.765,7.93,草莓
2023,臺北市,草莓,2.95,2.95,9300,27.435,草莓
2023,桃園市,草莓,5.25,5.25,11501.333,60.382,草莓
2023,臺中市,草莓,12.15,12.15,9600.864,116.651,草莓
2023,臺南市,草莓,3.46,3.46,11519.653,39.858,草莓
2023,高雄市,草莓,2.1,2.1,10768.571,22.614,草莓
2023,宜蘭縣,草莓,0.25,0.25,10000,2.5,草莓
2023,新竹縣,草莓,14,14,9084.429,127.182,草莓
2023,苗栗縣,草莓,521.55,521.55,12390.693,6462.366,草莓
2023,彰化縣,草莓,2.8,2.8,9725,27.23,草莓
2023,南投縣,草莓,11.27,11.27,7694.41,86.716,草莓
2023,雲林縣,草莓,3.58,3.58,5684.078,20.349,草莓
2023,嘉義縣,草莓,3.03,3.03,12132.013,36.76,草莓
2023,屏東縣,草莓,0.3,0.3,8860,2.658,草莓
2023,臺東縣,草莓,0.42,0.42,10000,4.2,草莓
2023,花蓮縣,草莓,1.36,1.36,7500,10.2,草莓
2023,澎湖縣,草莓,-,-,-,-,草莓
2023,基隆市,草莓,-,-,-,-,草莓
2023,新竹市,草莓,0.3,0.3,6000,1.8,草莓
2023,嘉義市,草莓,0.3,0.3,12000,3.6,草莓
2023,金門縣,草莓,-,-,-,-,草莓
2023,連江縣,草莓,-,-,-,-,草莓
2024,新北市,草莓,0.66,0.66,9942.879,6.562,草莓
2024,臺北市,草莓,2.95,2.95,9550,28.173,草莓
2024,桃園市,草莓,5.72,5.72,11480.245,65.667,草莓
2024,臺中市,草莓,15.31,15.31,9935.794,152.117,草莓
2024,臺南市,草莓,3.25,3.25,11212.308,36.44,草莓
2024,高雄市,草莓,2.03,2.03,10724.631,21.771,草莓
2024,宜蘭縣,草莓,0.4,0.4,9900,3.96,草莓
2024,新竹縣,草莓,7.37,7.37,9144.505,67.395,草莓
2024,苗栗縣,草莓,536.96,536.96,12718.826,6829.501,草莓
2024,彰化縣,草莓,2.59,2.59,9845.56,25.5,草莓
2024,南投縣,草莓,10.46,10.46,7979.541,83.466,草莓
2024,雲林縣,草莓,3.15,3.15,6092.063,19.19,草莓
2024,嘉義縣,草莓,3.34,3.34,12181.138,40.685,草莓
2024,屏東縣,草莓,0.4,0.4,8400,3.36,草莓
2024,臺東縣,草莓,0.47,0.47,10900,5.123,草莓
2024,花蓮縣,草莓,2.08,2.08,7288.462,15.16,草莓
2024,澎湖縣,草莓,-,-,-,-,草莓
2024,基隆市,草莓,-,-,-,-,草莓
2024,新竹市,草莓,0.4,0.4,6500,2.6,草莓
2024,嘉義市,草莓,-,-,-,-,草莓
2024,金門縣,草莓,-,-,-,-,草莓
2024,連江縣,草莓,-,-,-,-,草莓
